	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
1	4468.234058136635	5127.1190839494975	4223.9848299893465	3592.38094656808																				
2	2672.5390843805276	3001.8105119977677	2858.119673445418	2699.010445943693																				
3	3352.0152980259486	3594.0524777782207	3658.620856651893	3310.9076791616585																				
4	5043.286533288789	5344.777768452962	4912.75	4698.5																				
5	3269.4597334428267	3354.3099687684257	3090.4833620672357	3331.827286905317																				
6	3722.6456111027646	4034.9635847503064	4038.4081571504666	3782.4421982538133																				
7	5920.305582682292	5664.146203827439	5275.272720931413	4584.749076243197																				
8	4020.3413593242694	3434.3186748798075	3457.145455655185	3533.326528276716	3703.3403428021597																			
9	4804.00665850972	3725.8616856166295	4124.491641235351	3971.478175644047	4578.603546142578	4358.306610851753																		
10	6294.069303304842	5645.387104649698	5526.605574544271	5318.4654606999575	6254.486640625	5931.76573717272																		
11	4873.840542105741	3812.2660893458947	3891.261554986658	3698.5187434203235	4171.501108022837	3871.27889578683																		
12	5092.759596604567	3889.2155073780123	4273.172722204407	4052.9647394494164	5002.655143650099	4846.729933647261																		
13	5658.55730859375	6146.673212986367	6156.810179392497	5562.6304542430935	6470.831515469394	5655.026669921875																		
14	4444.124302455357	3867.3138127561474	3914.903429851852	3677.3314611884985	4735.132647923061	4273.4563992930725																		
15	4826.524073061736	3516.8480943124505	4011.3193274513287	4044.236866372855	4998.596149933644	4396.225561242354																		
16	5482.743349173819	5717.676923076923	6404.460146364959	5572.868845454982	6587.274180258474	5793.651383028686																		
17	4450.590438350554	3613.704239966164	4145.547389594876	3969.3897913640467	4337.992620692007	4196.800851004465	3849.396589608028																	
18	5064.068294024227	3567.999977225688	4052.5541675217487	4066.775712628231	4966.450214765936	5006.970196267833	4193.1242021201315	5194.735709635416	5179.500032865084															
19	7126.045003124372	5723.322785877046	6342.602744742616	6071.347747509296	7053.628100153225	6966.243799635202	6584.415380859375	6510.899963378906	6720.052085876465															
20	4646.838980507716	3464.231876981431	4322.887219880757	4356.536579916922	4723.267323711131	4617.852665265401	4049.323408338759	4819.486610412598	4890.686335024627															
21	4883.839509670921	3626.885724748884	4155.8156715779805	4209.529020126552	4985.98392367363	4832.1259990715835	4716.025954367898	5510.024209232653	5457.694810347123	4924.495436648105														
22	7159.6579212562	6039.876315209173	6506.131164974637	6262.806137531871	7404.398609467005	6900.8501994723365	7022.08486328125	7453.974510192871	6998.783337402344	6746.15436469184														
23	4575.0488907704585	3847.6981634324598	4547.5706187220985	4083.2222881396283	4718.981873469566	4400.05819964535	4395.16015625	5363.507491048177	5356.556434326172	4785.917599409055														
24	4888.456856890806	3767.550340996414	4042.2553542564656	4174.912696381919	4828.228175822131	4611.414145616384	4751.878712780071	5850.500583364944	5934.529920789931	5652.130495511568														
25	6827.350215863578	5738.177760823568	7221.193405528127	6578.60083987389	7644.327704830446	7276.723526507192	6473.396235627948	7867.9433614959125	6936.4207935405775	7710.517793822057	6821.903503417969													
26	4631.417141697096	3977.8367110271843	5055.64461592686	4552.689513655733	4734.7125009832025	4610.783183747688	3967.819407337117	5105.223796353653	5435.32016101108	5307.382562842073	4907.997823079427													
