	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
1	1195.3519230769232	1116.636	1337.3157894736842	1050.9166666666667																										
2	1712.847030203683	1668.9687486335413	1739.661340734461	1809.6583245245965																										
3	1759.6949554047028	1627.2099274935788	1882.4869376734684	2147.9112648703835																										
4	1213.2849650349651	1193.7182835820895	1144.1342975206612	1051.375																										
5	1772.6844671841325	1652.1566214259667	1961.8869971965921	1885.8599912581906	1367.7847049110815																									
6	1805.1638238722278	1628.8898680196005	2145.214668806209	2012.2807280127681	2038.2853711446126																									
7	1204.3532608695652	1155.3073529411765	1335.5829145728644	1231.4776785714287	1334.9035087719299																									
8	1870.607600200607	1713.1534894157858	1883.9171533829126	1859.0125167073193	1831.9781044006347																									
9	1815.4529939214867	1686.6172454285766	2005.4490502121557	2016.4745622601426	2323.6955504125476	2334.966117527174																								
10	1267.3	1117.410904255319	1380.2525167785234	1446.5782918149466	1189.0102040816328	1348.0541666666666																								
11	1911.9841886174759	1707.944820979454	1923.8762203332149	1980.9862219135414	1973.2675610919332	2170.030829973118																								
12	1896.4430646139479	1725.4514424184736	2144.3200633504107	2119.340642674084	2438.900232458627	2720.6692140640753	2294.2546156397407																							
13	1287.4767857142858	1101.2367021276596	1409.3297872340424	1437.6857326478148	1460.015625	1470.3011811023623	1380.6753731343283																							
14	2360.318493335278	1845.893612291686	1981.8011135186935	2025.2532814812603	1894.1642836843218	2277.4196241106306	2052.6517280910325																							
15	2551.741729177398	1773.7372020374644	1969.538684234619	1971.5937502007735	1734.1639082091194	2444.6932795801204	2134.8682220921373																							
16	1745.188725490196	1184.7238219895287	1429.3218673218673	1407.9423076923076	1253.640625	1831.3113553113553	1541.082298136646																							
17	2467.8382680429577	1898.5871230038729	1980.4748793435754	2031.2631887238601	1529.490865979876	2490.890137516595	2245.0874205309933	1798.0962679036459																						
18	2520.423574796287	1878.013934520965	1986.558917126848	1996.2119894915747	1494.8585527965001	2523.0268352099056	2264.970351457596	2204.8781074597996																						
19	1621.9856608478804	1260.4305555555557	1342.5294759825329	1351.1361283643892	977.6104910714286	1688.2983870967741	1511.485880398671	1353.4567307692307																						
20	2257.3535870183123	1871.9067673300676	2034.979531976241	2023.9721596120096	1307.217499256134	2460.4737557960566	2203.8532638332445	2170.1190889798677																						
21	2298.2226825885946	1750.4921416428986	1977.639888552402	1947.0639938614092	1290.8483508655004	2152.5123892456945	2173.9042627777535	2292.5550444162436	2091.432379247443	2262.5621431790864	2248.3516416807433																			
22	1579.6958987783596	1137.1109625668448	1313.7323874755382	1301.9677263969172	931.9508928571429	1514.0337837837837	1609.1255580357142	1543.216755319149	1414.7665534804753	1460.7908163265306	1494.445945945946																			
23	2202.8896511835637	1732.5812801604575	2048.4988853877576	2076.3097331505696	1293.5967465128217	2262.2370429180473	2250.3777200695326	2290.252653009751	2070.9184444611333	2088.4226258475824	1967.3739146967043	2054.5343028675425																		
24	2252.309306383133	1668.9506832215843	1976.3433704744434	2078.6184188232423	1029.5951031276159	2176.543743891303	2321.60915512762	2415.8183646296825	2107.6212806148806	2371.5180282184783	2228.1460101318357	2179.5767633611504																		
25	1539.6363636363637	1118.5801886792453	1391.6994047619048	1440.511770244821	720.9787946428571	1506.799715909091	1492.2940298507463	1652.725947521866	1437.6831436699858	1615.4417989417989	1582.87	1657.5494652406417																		
26	2277.906769516392	2086.2420978951964	2061.9947476709835	2104.1084723862823	818.4396920885358	2300.887752387531	2205.8535838628045	2243.5475985370103	2144.351885096912	2346.974574820705	2042.5821894039898	2192.0688685490536	1949.8147632495777																	
