	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14
1	4922.877207973547	5685.03702498071	4049.2266650390625												
2	3035.124123495133	3412.372671376104	2590.8737651026527	2720.432429133235											
3	3964.3047639973956	3727.5308449485087	3902.0961864237884	3584.7376123545123											
4	5655.80228333554	5662.771938123201	4573.142833891369	2510.8639383121413											
5	3554.4462227527006	3651.789731315013	3192.724929126341	3141.5714164733886											
6	4095.9285603841145	3572.5484152607532	4067.476701274671	4128.299315679641											
7	6034.352281050248	5379.767586489336	4706.304486788236	4556.8688724705435											
8	3811.8951364070813	3307.970578511556	3568.9776678085327	3642.0801406488185											
9	4092.917282586349	3344.7019876459594	4236.141069904063	4308.2267742023605											
10	6367.244673059342	5630.688168105259	4704.273882580411	2388.816271203709	5388.4487069936895										
11	3935.0554619946524	3774.758118022572	3768.538070988534	3838.390147330192	2011.2445009671724										
12	4160.6383128064745	3794.287548358624	4498.922477414255	4542.378507382402	1997.1236149714543	4159.767840576172									
13	6346.091228926809	5020.837192801542	6284.226241391347	5859.097488799185	2680.230761014498	5733.277785528274									
14	4068.4244584303638	3495.4913631900326	3929.3828568892045	4189.125546079694	2700.348900428185	4615.056001551011									
15	3933.2442416939684	3463.918841795488	4280.224980794027	4657.698765740878	4221.274726280799	5043.245804981519									
16	6070.704860687256	5045.9960860318915	6461.389878908793	6694.432563450026	4533.743556096004	6347.5113303444605									
17	3699.486252124493	4139.324234823162	4229.144430746579	4591.201958065942	2944.4395540677583	3990.3006797613098									
18	3661.4949408637153	5093.371712545747	4655.789921323966	3829.4413301433838	3909.923091008113	5175.056990548466	4460.068109556686								
19	5818.7581787109375	4597.684477310736	7394.368938128154	7645.27899140416	4997.506422776442	5884.536849172492	4555.147287767987	5073.208966611037							
20	3617.065378212067	4666.100549494178	4657.400214283737	4951.504808763613	2175.09614445613	4363.298493395354	4580.127300236501	4975.252929593696							
21	3298.6076003448875	5109.820384794069	4752.694182608891	5101.756007247887	2497.500004695012	4512.990984143709	5016.4679515941725	5296.563511795623							
22	5546.555540720622	4682.744343942809	7750.3617296056445	8185.774934266229	3517.9423217773438	6056.355716534515	3436.7621601826436	6199.480712890625							
23	2814.1571502685547	3741.731616307231	4809.25217072243	5153.757849077806	1817.3736196664663	4053.6289963793397	5370.227091918498	5379.795912022493	4367.999981989626						
24	2640.342842610677	4027.5020748249535	4908.163458266876	5324.668911420037	1781.0631807767427	4095.3299540049993	5316.445024496822	5815.404019405136	4801.9854001415015						
25	4487.111106795494	5485.410979520927	7591.991452019253	7968.008766442014	2340.057680570162	5548.003731428687	5681.60976681593	8435.629546138918	6416.330182175409						
26	4537.987016774187	3170.88072789757	4905.507354701411	5185.238933879736	1957.901106614333	3448.415782359109	5429.728415822458	5674.076563461051	4829.207154273987						
