	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
1	6801.314975227897	6481.26717534141	6192.229467218573	6041.980957903181																						
2	4496.65209275849	4162.43941313645	4225.583324114482	4520.439440519914																						
3	4705.843411372258	4858.606110965505	5617.0349116572625	5306.651469263537																						
4	7157.264974153959	6744.426398339209	6728.393310902913	5575.135822437428																						
5	4302.13822565852	4338.0658567508535	5063.399217925201	4847.229272808144	3589.044620513916																					
6	4548.784489518505	4565.4753159031725	5777.127784696812	5314.798671967802	4978.873506382533																					
7	6896.980397392722	6738.413855391942	7280.9395125105575	6232.341876690204	6205.214310418992																					
8	4564.7174497151245	4513.086060121835	4988.986752858419	5154.225221703522	4845.628554280599	4460.450980392156																				
9	4790.720674482804	4660.569621919836	5899.16504729535	5685.445057110909	5733.077328670726	6177.500009765625																				
10	7122.78708696615	7133.916655585879	8318.227954548258	7451.787668682927	8162.606074940075	7311.429212596318																				
11	4758.30612551511	4737.495050778179	5353.589008561717	5538.900619258051	5701.694690089072	5296.592767825072	4341.196828884548																			
12	4587.483070373535	4732.158272566196	5938.227821514524	6141.037015371372	6110.913417376894	6180.980449969952	5633.878212850602																			
13	7248.69824529949	7432.409763214694	8580.354692554665	8347.449615399659	8370.276765580611	8083.125602390455	7389.828660753038																			
14	4736.518258327908	5147.1287915778885	5605.4376695846495	5601.319924838792	6107.8930162403685	6335.12699461295	5524.779039713541																			
15	4799.772053035882	4821.162041052064	5609.060706962091	5727.273103313286	6183.78708154671	6648.378150327958	5903.268285239615	5337.282147216797																		
16	7277.4137276500915	6683.5625005449565	8724.539164063115	8680.291408887017	8938.156361083984	9360.710533275938	7857.602251993815	7364.358386230469																		
17	4736.827439468898	4615.4536863892945	5737.049122329586	5674.517441378295	6113.5323033259465	6384.0632412743025	5606.821434487688	5043.787063310731	4466.996485580633																	
18	4507.981615727491	4684.594060758265	5681.206103593572	5716.11213462493	6358.416322065081	6577.021802999206	6396.970748756045	6142.219995117188	5610.0968302408855																	
19	7440.801667633056	7548.049583641258	8799.111442060426	8429.4842694656	9265.266500381225	9847.229005774672	8543.444473153573	8100.054464486929	7683.882124737996																	
20	4713.023567592974	5855.74711155247	5997.871971154363	5803.61344982596	5816.8558392188	6440.200335019033	6201.694369751402	5740.424796121162	5620.509578114932																	
21	4577.264620024583	4613.50357208252	5709.874233217676	5661.545948215298	6154.454077783929	6552.591496156842	6336.171171470507	6105.299402659524	6001.29948368779																	
