	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
1	997.3414179104477	1002.2869127516778	1061.177536231884	942.0833333333334																			
2	1495.5096337235213	1459.3815506443832	1395.5690410663556	1589.3512646484376																			
3	1564.0253471212184	1573.5824204799108	1958.3901470681894	1994.4211779142681																			
4	1022.7743506493506	1079.1460843373493	1094.0357142857142	1124.6758241758241																			
5	1526.3934607254832	1504.0943348325532	1515.068737614764	1764.4800660624308	784.921837797619																		
6	1557.991781655844	1481.2439533955342	1988.5224917325106	2019.4321082575404	965.6308012535824																		
7	1014.6725806451612	935.2326203208556	978.6619433198381	958.8975409836065	550.1176470588235																		
8	1589.5451601842406	1675.6760867504363	1652.728444918119	1140.0280086329726	1683.1183393801002	1631.1247440167328																	
9	1554.5471069335938	1572.3251227419912	1957.89818597609	1032.4831157586514	1989.980199067489	2116.797966452206	1781.6141669090757	1020.3533996225101															
10	955.1959459459459	979.7623762376238	1189.5545212765958	691.7403846153846	1215.5562080536913	1190.888888888889	1100.159574468085	676.0482456140351															
11	1753.886292700674	1700.0338420588796	1729.2932615197224	1001.9110766679813	1790.122967933411	1883.0794491238064	1716.0529794001925	939.1856066608987															
12	1668.7413333892823	1789.4012107037483	1987.6963740938431	1185.3791132217798	1987.8738257309485	2134.989862095226	2101.351473721591	1017.463400143629															
13	1003.0059880239521	971.0118483412323	1212.5549019607843	807.7227564102565	1272.0817422434368	1102.3974358974358	1157.9036458333333	655.0131578947369	1102.357142857143														
14	1636.6997160812905	1767.4318300960986	1844.1635140505705	1127.3264432075696	1773.183795999337	2127.744987106323	2071.779845784505	1057.9997212370934	1637.5253400530135														
15	1486.1731512661638	1676.7689868242312	1854.9453750839807	1245.1959874079778	1828.7025884036134	2175.0418923213565	2232.5392933343824	1312.1158795273095	1754.1161512586805														
16	880.14	810.0193798449612	1226.9254237288135	901.8541666666666	1277.3244308231174	1329.293948126801	1304.7023255813954	781.1505847953216	1147.496794871795														
17	2215.299356689453	1637.533071677778	1846.0563049316406	1030.4150545169146	1826.7071801113216	2052.9667168250453	2113.041090887946	1449.8750447948078	1820.0346005088404														
18	2591.342967529297	1697.9254891778116	1811.1455935700844	1880.8269723745493	1863.3369544870895	2143.4189425981963	2204.461808451106	1474.8006441885964	2125.5656826213253	1980.4299247634242													
19	1449.55	830.5287769784172	1227.6437908496732	1197.1923076923076	1246.0506134969326	1395.7415254237287	1283.141447368421	936.0	1350.3707983193278	1196.0070422535211													
20	2407.0163586425783	1753.9787946862368	1819.3022421525618	1701.6641368376902	1858.9017425396476	2119.425289613083	2052.4753494434917	1235.7645017389666	2042.3655854762571	1877.0143253102021													
21	2628.9025048828125	1710.1640116874808	1753.0567191959858	2010.1362823216261	1823.185129226801	2138.846960287689	2131.457607253843	1297.1717511450338	2151.336627462636	2061.211580141129													
